Šifra;Naziv;Župnija;Poštanski Broj;Mjesto;Adresa;Tip Ustanove;Osnivač;Ravnatelj;Telefon;Faks;e Pošta;Web
15-081-505;TURISTIČKO-UGOSTITELJSKA ŠKOLA ŠIBENIK;Šibensko-kninska županija;22000;Šibenik;ANTE ŠUPUKA b.b.;Srednja škola;Šibensko-kninska županija;Senka Dodig;022/336-100, 336-320, 022/312-191, 022/336-200, 022/336-321;022/310-136;tus@si.t-com.hr, ured@ss-turisticko-ugostiteljska-si.skole.hr;http://ss-turisticko-ugostiteljska-si.skole.hr/
15-081-506;GIMNAZIJA ANTUNA VRANČIĆA;Šibensko-kninska županija;22000;Šibenik;Put Gimnazije br. 64;Srednja škola;Šibensko-kninska županija;;022/213-276, 022/216-420;022/216-420;gimnazija@gav.hr;
15-081-507;TEHNIČKA ŠKOLA;Šibensko-kninska županija;22000;Šibenik;Ante Šupuka 31;Srednja škola;Šibensko-kninska županija;Josip Belamarić;022/332-074, 022/336-618;022/332-074;tehskola@tssibenik.hr, ured@ss-tehnicka-si.skole.hr;
15-081-508;INDUSTRIJSKO-OBRTNIČKA ŠKOLA ŠIBENIK;Šibensko-kninska županija;22000;Šibenik;ANTE ŠUPUKA 31;Srednja škola;Šibensko-kninska županija;Zoran Živković;022/334-220, 310-016;, 022/334-220, 022/334-220;;022/310-016;;ind.obrt.skola@si.t-com.hr, ljiljana.korda@ioss.hr;
15-081-509;SREDNJA STRUKOVNA ŠKOLA ŠIBENIK;Šibensko-kninska županija;22000;Šibenik;Ante Šupuka 31 ;Srednja škola;Šibensko-kninska županija;Dražen Sekso;022/214-484, 022/213-383;022/213-383;ured@ss-strukovna-si.skole.hr;www.strukovna.hr
16-088-501;Tehnička škola Ruđera Boškovića Vinkovci;Vukovarsko-srijemska županija;32100;Vinkovci;STANKA VRAZA 15;Srednja škola;Vukovarsko-srijemska županija;Mate Vukušić;032/354-615, 032/354-114, 032/ 354 619, 032/ 354 244, 032/ 354 620, 099 736 0445;032/354-615;tajnistvo@tsvk.hr, tsvk@ss-tehnicka-rboskovica-vk.skole.hr, tajnistvo@tsvk.hr, ines.grbesic@skole.hr, teh-sk-r.boskovic@vk.t-com.hr, mate.vukusic@skole.hr;http://www.tsvk.hr
16-088-502;Gimnazija Matije Antuna Reljkovića;Vukovarsko-srijemska županija;32100;Vinkovci;Trg bana Josipa Šokčevića 1;Srednja škola;Vukovarsko-srijemska županija;Stipe Tomić;032/332-284, 032/332-284, 032/338-261, 032/331-511, 331-517, 338-262;032/340088;ured@gimnazija-mareljkovica-vk.skole.hr, gimnazija.vk@gmail.com;gimnazija-mareljkovica-vk.skole.hr
16-088-504;Ekonomska i trgovačka škola Ivana Domca;Vukovarsko-srijemska županija;32100;Vinkovci;Antuna Akšamovića 31;Srednja škola;Vukovarsko-srijemska županija;Mato Džalto;032/354-064, 032/354-983, 032/354-299, 032/354-984, 032/354-064;032/354-984;ured@ss-ekonomskaitrgovacka-idomca-vk.skole.hr;
16-088-506;Drvodjelska tehnička škola;Vukovarsko-srijemska županija;32100;Vinkovci;STANKA VRAZA 15;Srednja škola;Vukovarsko-srijemska županija;Josip Jovanovac;032/354-617, 032/354-069, 032/354-866, 032/354-821;032/354-820;ravnatelj@ss-drvodjelska-tehnicka-vk.skole.hr, tajnistvo@ss-drvodjelska-tehnicka-vk.skole.hr;
16-088-507;Srednja strukovna škola Vinkovci;Vukovarsko-srijemska županija;32100;Vinkovci;STANKA VRAZA 15;Srednja škola;Vukovarsko-srijemska županija;Domagoj Bujadinović;032/354-614, 032/354-618, 032/354-901, 032/354-900;032/354-618;ravnatelj@ss-strukovna-vk.skole.hr, pedagog@ss-strukovna-vk.skole.hr, admin@ss-strukovna-vk.skole.hr;http://www.ss-strukovna-vk.skole.hr/
16-088-508;Zdravstvena i veterinarska škola Dr. Andrije Štampara Vinkovci;Vukovarsko-srijemska županija;32100;Vinkovci;H.D.Genschera 16/a;Srednja škola;Vukovarsko-srijemska županija;Josip Šuker;032/306-301, 032/306-301, 032/306-190, 032/306-191;032/306-301;ured@ss-drastampara-vk.skole.hr;
16-088-509;POLJOPRIVREDNO ŠUMARSKA ŠKOLA VINKOVCI;Vukovarsko-srijemska županija;32100;Vinkovci;H.D.GENSCHERA 16;Srednja škola;Vukovarsko-srijemska županija;Marinko Džakula;032/306-292, 032/306-601;032/306-290;pssvk@ss-poljoprivredno-sumarska-vk.skole.hr, nikolina.tomic4@skole.hr;
16-096-501;GIMNAZIJA VUKOVAR;Vukovarsko-srijemska županija;32000;Vukovar;ŠAMAC 2;Srednja škola;Vukovarsko-srijemska županija;Davor Šijanović;032/413-338, 032/413-338, 032/413-953;032/414-780;administracija@gimnazija-vukovar.skole.hr;www.gimnazija-vukovar.skole.hr
16-096-502;Ekonomska škola Vukovar;Vukovarsko-srijemska županija;32010;Vukovar;Stjepana Filipovića 6;Srednja škola;Vukovarsko-srijemska županija;Mira Majstorović;032/423-019, 032/423-304, 032/423-305;032/421-032;ured@ekonomska-skola-vukovar.hr;
16-096-503;TEHNIČKA ŠKOLA NIKOLE TESLE;Vukovarsko-srijemska županija;32010;Vukovar;Blage Zadre 4;Srednja škola;Vukovarsko-srijemska županija;Đorđe Lukić;032/423-025, 032/423-025;032/421-619;ured@ss-tehnicka-ntesla-vu.skole.hr, ured@ss-tehnicka-ntesla-vu.skole.hr;
16-096-504;Strukovna škola Vukovar;Vukovarsko-srijemska županija;32010;Vukovar;Domovinskog rata 58;Srednja škola;Vukovarsko-srijemska županija;Vladimir Matić;032/424-970;032/424-971;racunovodstvo@ss-strukovna-vu.skole.hr, tajnistvo@ss-strukovna-vu.skole.hr, ravnatelj@ss-strukovna-vu.skole.hr, administrator@ss-strukovna-vu.skole.hr;
16-111-501;OBRTNIČKO - INDUSTRIJSKA ŠKOLA, Županja;Vukovarsko-srijemska županija;32270;Županja;VELIKI KRAJ 42;Srednja škola;Vukovarsko-srijemska županija;Slavko Šokičić;032/837-442, 032/837-442;032/837-442;ured@ss-obrtnicko-industrijska-zu.skole.hr, obrind-skola-zupanja@vk.t-com.hr;http://ss-obrtnicko-industrijska-zu.skole.hr/
16-111-502;Gimnazija Županja;Vukovarsko-srijemska županija;32270;Županja;VELIKI KRAJ 42;Srednja škola;Vukovarsko-srijemska županija;Ivica Živković;032/837-620, 032/837-533, 032/837-278, 837-025;032/837-620;ured@gimnazija-zupanja.skole.hr, gimnazija.zupanja1@vu.t-com.hr;http://gimnazija-zupanja.skole.hr/
16-111-503;Tehnička škola Županja;Vukovarsko-srijemska županija;32270;Županja;VELIKI KRAJ 42;Srednja škola;Vukovarsko-srijemska županija;Jozo Jurkić;032/837-926, 032/837-926;032/837-025;tszu@ss-tehnicka-zupanja.skole.hr;www.ss-tehnicka-zupanja.skole.hr
16-426-501;SREDNJA ŠKOLA ILOK;Vukovarsko-srijemska županija;32236;Ilok;MATIJE GUPCA 168;Srednja škola;Vukovarsko-srijemska županija;Željko Prskalo;032/593-207, 032/593-207, 032/590-221, 032/592-820;032/593-117;ss-ilok@ss-ilok.skole.hr;
17-029-501;SREDNJA ŠKOLA HVAR;Splitsko-dalmatinska županija;21450;Hvar;KROZ BURAK 81;Srednja škola;Splitsko-dalmatinska županija;Saša Paduan;021/741-115, 021/761-157;021/741-115 ili 761-157;ured@ss-hvar.skole.hr, srednja-skola-hvar@st.htnet.hr;
17-030-502;OBRTNIČKO-INDUSTRIJSKA ŠKOLA U IMOTSKOM;Splitsko-dalmatinska županija;21260;Imotski;BRUNE BUŠIĆA 59;Srednja škola;Splitsko-dalmatinska županija;Nediljko Biočić;021/842-333, 021/841-146;021/670055;ured@ss-obrtnicko-industrijska-imotski.skole.hr;
17-030-503;EKONOMSKA ŠKOLA;Splitsko-dalmatinska županija;21260;Imotski;BRUNA BUŠIĆA 59;Srednja škola;Splitsko-dalmatinska županija;Željko Đuzel;021/842-222, 021/842-229;021/842-222;ured@ss-ekonomska-imotski.skole.hr, djelatnici@ss-ekonomska-imotski.skole.hr, ured@ss-ekonomska-imotski.skole.hr;
17-030-504;TEHNIČKA ŠKOLA U IMOTSKOM;Splitsko-dalmatinska županija;21260;Imotski;BRUNE BUŠIĆA 59;Srednja škola;Splitsko-dalmatinska županija;Jure Vujević;021/841-550, 021/841-550;021/841-151;ured@ss-tehnicka-imotski.skole.hr;www.ss-tehnicka-imotski.skole.hr
17-030-505;GIMNAZIJA DR. MATE UJEVIĆA;Splitsko-dalmatinska županija;21260;Imotski;BRUNA BUŠIĆA 59;Srednja škola;Splitsko-dalmatinska županija;Boris Karin;021/843-098, 021/670-337;021/843-098;gimnazija@gimnazija-mujevica-im.skole.hr;
17-047-501;SREDNJA ŠKOLA FRA ANDRIJE KAČIĆA MIOŠIĆA;Splitsko-dalmatinska županija;21300;Makarska;Breljanska 3;Srednja škola;Splitsko-dalmatinska županija;Slavko Gudelj;021/610-304, 021/610-304, 021/610-200, 021/678-268;021/610-200;ured@ss-fraandrijekacicamiosica-ma.skole.hr;http://www.ss-fraandrijekacicamiosica-ma.skole.hr/
17-047-502;SREDNJA STRUKOVNA ŠKOLA;Splitsko-dalmatinska županija;21300;Makarska;Breljanska 3;Srednja škola;Splitsko-dalmatinska županija;Momir Sumić;021/678 017, 021/678-016;021 678 016;ured@ss-strukovna-ma.skole.hr;www.sss-makarska.hr
17-057-501;Srednja škola Jure Kaštelan;Splitsko-dalmatinska županija;21310;Omiš;TRG KRALJA TOMISLAVA 2;Srednja škola;Splitsko-dalmatinska županija;Tereza Srdelić;021/861-117, 021/861-117;021/862-320;ured@ss-jkastelan-omis.skole.hr;
17-075-501;Srednja strukovna škola bana Josipa Jelačića;Splitsko-dalmatinska županija;21230;Sinj;Dinka Šimunovića 14.;Srednja škola;Splitsko-dalmatinska županija;Boris Grčić-Rako;021/668-583, 021/668-586;021/826-461;tajnistvo@ss-strukovna-banajosipajelacica-sinj.skole.hr;
17-075-502;GIMNAZIJA DINKA ŠIMUNOVIĆA U SINJU;Splitsko-dalmatinska županija;21230;Sinj;DINKA ŠIMUNOVIĆA 10;Srednja škola;Splitsko-dalmatinska županija;Tomislav Bilić;021/821-608, 021/821-808;021/825-444;ured@gimnazija-dsimunovica-sinj.skole.hr;
17-075-503;TEHNIČKA I INDUSTRIJSKA ŠKOLA RUĐERA BOŠKOVIĆA U SINJU;Splitsko-dalmatinska županija;21230;Sinj;DINKA ŠIMUNOVIĆA 12;Srednja škola;Splitsko-dalmatinska županija;Jozo Radić;021/821-522, 021/821-522, 021/821-502, 021/821-818;021/821-502;tis@ss-rboskovic-sinj.skole.hr;tiswebstranica@gmail.com
17-075-504;FRANJEVAČKA KLASIČNA GIMNAZIJA U SINJU S PRAVOM JAVNOSTI;Splitsko-dalmatinska županija;21230;Sinj;ULICA FRANJEVAČKE KLASIČNE GIMNAZIJE 22;Srednja škola;Franjevačka provincija Presvetog Otkupitelja;Blaž Toplak;021/821-809, 021/660-480;021/821-809;ured@gimnazija-franjevacka-klasicna-sinj.skole.hr, fkgsinj@gmail.com;
17-083-501;Srednja škola IVANA LUCIĆA - TROGIR;Splitsko-dalmatinska županija;21220;Trogir;PUT MULINE 2B;Srednja škola;Splitsko-dalmatinska županija;Jakša Geić;021/884-891, 021/881-414;021/881-414;ured@ss-ilucica-trogir.skole.hr;http://ss-ilucica-trogir.skole.hr
17-083-502;SREDNJA STRUKOVNA ŠKOLA BLAŽ JURJEV TROGIRANIN;Splitsko-dalmatinska županija;21220;Trogir;Ul. dr. Franje Tuđmana 1;Srednja škola;Splitsko-dalmatinska županija;Karmen Sinanović;021/882-511, 021/885-620;021/884-251;sss.bjt.trogir@gmail.com;
17-090-501;SREDNJA ŠKOLA ANTUN MATIJAŠEVIĆ - KARAMANEO;Splitsko-dalmatinska županija;21480;Vis;VIŠKOG BOJA 9;Srednja škola;Splitsko-dalmatinska županija;Tončica Poduje Vojković;021/711-449, 021/711-748;021/711-449;ured@ss-amkaramaneo-vis.skole.hr;
17-093-501;SREDNJA ŠKOLA TINA UJEVIĆA;Splitsko-dalmatinska županija;21276;Vrgorac;MATICE HRVATSKE 8;Srednja škola;Splitsko-dalmatinska županija;Josip Gašpar;021/674-026, 021/674-335;021/674-335;ured@ss-tujevic-vrgorac.skole.hr;http://ss-tujevic-vrgorac.skole.hr/
17-124-501;SREDNJA ŠKOLA BRAĆA RADIĆ;Splitsko-dalmatinska županija;21216;Kaštel Štafilić - Nehaj;Put poljoprivrednika 5;Srednja škola;Splitsko-dalmatinska županija;Marija Kezele;021/234-505, 00385915025365, 021/234-599, 234-587;021/234-599;ured@ss-bracaradic-kastelstafilicnehaj.skole.hr;
17-126-501;PRIRODOSLOVNA TEHNIČKA ŠKOLA - SPLIT;Splitsko-dalmatinska županija;21000;Split;MATICE HRVATSKE 11;Srednja škola;Splitsko-dalmatinska županija;Marija Pustak;021/434-590, 021/465-462, 021/465-462, 021/468-871;021/465-462;prirodoslovna@prirodoslovna.hr;
17-126-502;ELEKTROTEHNIČKA ŠKOLA - SPLIT;Splitsko-dalmatinska županija;21000;Split;TESLINA 2;Srednja škola;Splitsko-dalmatinska županija;Igor Radanović;021/385-941, 021/385-941, 021/385-936;021/385-936;ured@ss-elektrotehnicka-st.skole.hr;www.ets-split.hr
17-126-503;GRADITELJSKO-GEODETSKA TEHNIČKA ŠKOLA;Splitsko-dalmatinska županija;21000;Split;MATICE HRVATSKE 11;Srednja škola;Splitsko-dalmatinska županija;Filip Relja;021/468-199, 021/558-430;021/468-199;ured@ss-graditeljskogeodetskatehnicka-st.skole.hr;
17-126-504;OBRTNIČKA ŠKOLA;Splitsko-dalmatinska županija;21000;Split;NODILOVA 3;Srednja škola;Splitsko-dalmatinska županija;Davor Kulić;021/343-612, 021/347-612, 021/347-612;021/361-057;ured@ss-obrtnicka-st.skole.hr;
17-126-505;I. GIMNAZIJA SPLIT;Splitsko-dalmatinska županija;21000;Split;NIKOLE TESLE 10;Srednja škola;Splitsko-dalmatinska županija;Marijan Puljiz;021/384-944, 021/315-476;021/384-966, 021/315-475;gimnazija@gimnazija-prva-st.skole.hr, tajnistvo@gimnazija-prva-st.skole.hr;www.gimnazija-prva-st.skole.hr
17-126-506;II. GIMNAZIJA;Splitsko-dalmatinska županija;21000;Split;NIKOLE TESLE 10;Srednja škola;Splitsko-dalmatinska županija;Ivanka Kovačević;021/322 195, 021/386-174, 021/384-807, 021/385-914; 021/384-969;;ured@gimnazija-druga-st.skole.hr;www.gimnazija-druga-st.skole.hr
17-126-507;III. GIMNAZIJA;Splitsko-dalmatinska županija;21000;Split;MATICE HRVATSKE 11;Srednja škola;Splitsko-dalmatinska županija;Mirjana Matijević;021/558-428, 021/558-421, 021/558-420;021/465-445;iiigs@trema.hr;www.trema.hr
17-126-508;IV. GIMNAZIJA MARKO MARULIĆ;Splitsko-dalmatinska županija;21000;Split;ZAGREBAČKA 2;Srednja škola;Splitsko-dalmatinska županija;Ninočka Knežević;021/344-484, 021/348-380, 021/346-296;021/315-632;ured@gimnazija-cetvrta-mmarulic-st.skole.hr;
17-126-509;V. GIMNAZIJA VLADIMIR NAZOR SPLIT;Splitsko-dalmatinska županija;21000;Split;ZAGREBAČKA 2;Srednja škola;Splitsko-dalmatinska županija;Ankica Kovač;021/348-381, 021/344-922, 021/344-922;021/315-250;vnazor@petagimnazijast.hr;www.petagimnazijast.hr
17-126-510;Nadbiskupijska klasična gimnazija Don FRANE BULIĆ - s pravom javnosti;Splitsko-dalmatinska županija;21000;Split;ZRINSKO-FRANKOPANSKA 19;Srednja škola;Nadbiskupija splitsko-makarska;Don Josip Dukić;021/323-443, 021/323-440, 021/323-441;021/386-149;tajnistvo@nkg-split.hr;
17-126-511;Ekonomsko-birotehnička škola u Splitu;Splitsko-dalmatinska županija;21000;Split;VUKOVARSKA 37;Srednja škola;Splitsko-dalmatinska županija;Neda Bartulin;021/401-312, 021/401-311,021/ 401-317, 021/401-316, 021/401-300;;ured@ss-ekonomsko-birotehnicka-st.skole.hr;
17-126-512;KOMERCIJALNO-TRGOVAČKA ŠKOLA SPLIT;Splitsko-dalmatinska županija;21000;Split;ANTUNA GUSTAVA MATOŠA 60;Srednja škola;Splitsko-dalmatinska županija;Velimir Ćurčija;021/386-031,041, 021/386-829;021/386-829;trgovacka-skola-split@skole.hr, ured@ss-kom-trg-st.skole.hr;
17-126-513;SREDNJA TEHNIČKA PROMETNA ŠKOLA;Splitsko-dalmatinska županija;21000;Split;TESLINA 4;Srednja škola;Splitsko-dalmatinska županija;Josip Balić;021/385-937, 021/344-649, 385-942, 021/385-910;021/385-903;tajnistvo@ss-tehnicka-prometna-st.skole.hr;http://ss-tehnicka-prometna-st.skole.hr/
17-126-514;TEHNIČKA ŠKOLA ZA STROJARSTVO I MEHATRONIKU;Splitsko-dalmatinska županija;21000;Split;Zrinsko-Frankopanska 23;Srednja škola;Splitsko-dalmatinska županija;Marin Tvrdić;021/385-944, 021/322-283, 021/322-284;021/385-940;tssm@tehnickaskola-split.hr;www.tehnickaskola-split.hr
17-126-515;OBRTNA TEHNIČKA ŠKOLA;Splitsko-dalmatinska županija;21000;Split;Plančićeva 1;Srednja škola;Splitsko-dalmatinska županija;Renato Žuvela;021/385-938, 021/385-939, 021-386-197;021/385-938;ured@ss-obrtna-tehnicka-st.skole.hr;
17-126-516;INDUSTRIJSKA ŠKOLA;Splitsko-dalmatinska županija;21000;Split;ZRINSKO FRANKOPANSKA 40;Srednja škola;Splitsko-dalmatinska županija;Ivana Vojnović;021/380-776, 021/380-776, 021/322-177;021/380-773;info@ss-industrijska-st.skole.hr, info@industrijskaskola.hr;
17-126-517;ŠKOLA ZA DIZAJN, GRAFIKU I ODRŽIVU GRADNJU;Splitsko-dalmatinska županija;21000;Split;Matice Hrvatske 11;Srednja škola;Splitsko-dalmatinska županija;Ivan Kovačević;021/434-580, 021/434-580, 021/434-581;021/465-427;ured@ss-dizajngrafikuiodrzivugradnju-st.skole.hr;www.gogss.hr
17-126-518;POMORSKA ŠKOLA;Splitsko-dalmatinska županija;21000;Split;ZRINSKO FRANKOPANSKA 36;Srednja škola;Splitsko-dalmatinska županija;Dragan Pavelin;021/380-749, 021/380-764, 021/380-764;021/380-764;office@pomsk.hr;
17-126-520;ŠKOLA LIKOVNIH UMJETNOSTI;Splitsko-dalmatinska županija;21000;Split;FAUSTA VRANČIĆA 17;Srednja škola, Umjetnička škola;Splitsko-dalmatinska županija;Mladen Bilankov;021/467-177, 021/467-179;021/467-177;skola-likovnih-umjetnosti@st.t-com.hr;www.umjetnicka.com
17-126-521;Zdravstvena škola;Splitsko-dalmatinska županija;21000;Split;ŠOLTANSKA 15;Srednja škola;Splitsko-dalmatinska županija;Mirjana Kurtović;021/466-018, 021/466-018, 095 2225 876 / 098 225 876;021/535-869, 021 535 869;split@zdravstvenaskola.hr;
17-126-522;TURISTIČKO - UGOSTITELJSKA ŠKOLA, SPLIT;Splitsko-dalmatinska županija;21000;Split;A. G. MATOŠA 60;Srednja škola;Splitsko-dalmatinska županija;Ivo Bilić;021/386-824, 021/386-824, 021/386-652;021/386-827;ured@tus-st.hr;http://ss-turisticko-ugostiteljska-st.skole.hr/
17-126-527;SREDNJA ŠKOLA DENTAL CENTAR MARUŠIĆ;Splitsko-dalmatinska županija;21000;Split;BENKOVAČKA 10 A;Srednja škola;Hrvoje Marušić;Gordana Radnić;021/502-600, 502-492;021/501-141;dental.marusic@dentalcentarmarusic.com;www.dentalcentarmarusic.com
17-126-528;Privatna jezična gimnazija PITAGORA, srednja škola s pravom javnosti;Splitsko-dalmatinska županija;21000;Split;Držićeva 8;Srednja škola;1. Dražen Pažanin / 2. Perica Barbaroša;Perica Barbaroša;021/360-022;021/348-199;ured@gimnazija-privatna-jezicna-pitagora-st.skole.hr, gimnazija@pitagora-gimnazija.hr;www.pitagora-gimnazija.hr
17-126-529;Privatna srednja škola Marko Antun de Dominis, s pravom javnosti;Splitsko-dalmatinska županija;21000;Split;Put Brodarice 6;Srednja škola;Jelica Pražen;Jelica Pražen;021/493-542, 021/ 493-542;021/493-542;privatnaskola@dominis.hr, ravnateljica@dominis.hr;
17-126-530;GIMNAZIJSKI KOLEGIJ KRALJICA JELENA s pravom javnosti;Splitsko-dalmatinska županija;21000;Split;NODILOVA 1;Srednja škola;Ivan Plazibat;Koraljka Bezina;021/321-222;021/321-221;gimnazijakraljicajelena1@gmail.com;
17-444-501;SREDNJA ŠKOLA BOL;Splitsko-dalmatinska županija;21420;Bol;RUDINA 1;Srednja škola;Splitsko-dalmatinska županija;Sani Bodlović;021/635-141, 635-652, 021/717-068;021/635-141;ured@ss-bol.skole.hr, sani.bodlovic@skole.hr;
17-445-501;KLESARSKA ŠKOLA PUČIŠĆA;Splitsko-dalmatinska županija;21412;Pučišća;NOVO RIVA 4;Srednja škola;Splitsko-dalmatinska županija;Tamara Plastić;021/633-076, 021/633-114, 021 718 366, 021 633 548;021/633-114;klesarska-skola@st.htnet.hr, klesarska.skola@inet.hr;
17-468-501;SREDNJA ŠKOLA BRAČ;Splitsko-dalmatinska županija;21400;Supetar;ULICA KRALJA PETRA KREŠIMIRA IV. br. 2;Srednja škola;Splitsko-dalmatinska županija;Ivan Meštrović;021/631-152, 021/757-167;021/630-884;ured@ss-brac-supetar.skole.hr;http://ss-brac-supetar.skole.hr/
18-006-501;SREDNJA ŠKOLA VLADIMIR GORTAN - SCUOLA MEDIA SUPERIORE VLADIMIR GORTAN;Istarska županija;52460;Buje;Školski brijeg 1;Srednja škola;Istarska županija;Ana Zubčić Kuhar;052/772-113;052/720-288;ured@ss-vgortan-buje.skole.hr;
18-006-502;Talijanska srednja škola - Scuola media superiore italiana Leonardo da Vinci;Istarska županija;52460;Buje;ŠKOLSKI BRIJEG 1;Srednja škola;Istarska županija;Irena Penko;052/772-233, 052/772-233, 052/722-180;052/772-429;sssms@pu.t-com.hr, irena.penko@skole.hr;
18-006-503;GOSPODARSKA ŠKOLA ISTITUTO PROFESSIONALE;Istarska županija;52460;Buje;ŠKOLSKI BRIJEG 1;Srednja škola;Istarska županija;Milivoj Gospić;052/772-077, 052/492-772, 052/492-770, 052/492-776, 052/492-775, 052/492-774, 052/492-771;052/720-354;skola@ss-gospodarska-buje.skole.hr, milivoj.gospic@skole.hr;
18-007-501;SREDNJA ŠKOLA BUZET;Istarska županija;52420;Buzet;Antuna Cerovca-Tončića 7;Srednja škola;Istarska županija;Marija Pavletić;052/662-764, 052/662-764, 052/662-707;052/662-056;ured@ss-buzet.skole.hr;http://www.ss-buzet.skole.hr
18-044-501;Srednja škola Mate Blažine Labin;Istarska županija;52220;Labin;Rudarska 4;Srednja škola;Istarska županija;Čedomir Ružić;052/856-277, 052/856-277, 052/856-277;052/855-329;ssmb@ss-mblazine-labin.skole.hr;
18-065-501;Gimnazija i strukovna škola Jurja Dobrile, Pazin;Istarska županija;52000;Pazin;ŠETALIŠTE PAZINSKE GIMNAZIJE 11;Srednja škola;Istarska županija;Josip Šiklić;052/624-017, 052/624-017, 052/624-184;052/624-226;gssjd@gssjd.hr;
18-065-502;PAZINSKI KOLEGIJ - KLASIČNA GIMNAZIJA PAZIN s pravom javnosti;Istarska županija;52000;Pazin;J. DOBRILE 6;Srednja škola;Porečko-pulska biskupija;Alejandro Castillo Jimenez;052/624-505, 052/624-505, 052/624-649, 052/624-283;052/624-224;kolegij@pazinski-kolegij.hr, ured@gimnazija-klasicna-pazinskikolegij.skole.hr;
18-068-501;Srednja škola Mate Balote;Istarska županija;52440;Poreč;KARLA HUGUESA 6;Srednja škola;Istarska županija;Krešimir Bronić;052/431-055, 052/ 431-085;052/431-246;ss-mbalote@ss-mbalote-porec.skole.hr;
18-068-502;TURISTIČKO - UGOSTITELJSKA ŠKOLA ANTONA ŠTIFANIĆA POREČ;Istarska županija;52440;Poreč;PRVOMAJSKA 6;Srednja škola;Istarska županija;Vesna Baranašić;052/429-250;052/431-622;ured@ss-astifanica-porec.skole.hr, tus-porec@email.ht.hr, skola-a.stifanic@pu.t-com.hr;
18-069-501;Škola za turizam, ugostiteljstvo i trgovinu;Istarska županija;52100;Pula;KANDLEROVA 48;Srednja škola;Istarska županija;Orhideja Petković;052/218-787, 052/218-778, 052/368-683;052/218-796;skturugo@pu.t-com.hr, tajnistvo@ss-tur-ugo-trg-pu.skole.hr;
18-069-502;Gimnazija Pula;Istarska županija;52100;Pula;TRIERSKA 8;Srednja škola;Istarska županija;;052/212-144, 052/212-144, 212-258, 052/212-144;052/212-258;gimnazija@gimnazija-pula.skole.hr;http://gimnazija-pula.skole.hr/
18-069-503;INDUSTRIJSKO - OBRTNIČKA ŠKOLA PULA;Istarska županija;52100;Pula;RIZZIJEVA 40;Srednja škola;Istarska županija;Petar Gavrić;052/216-121, 052/216-121, 052/216-121, 052/216-124;052/216-124;ios.pula@skole.hr;
18-069-504;Škola primijenjenih umjetnosti i dizajna - Pula;Istarska županija;52100;Pula;Radićeva 19;Srednja škola, Umjetnička škola;Istarska županija;Davor Kliman;052/223-377, 052/382-548;052/223-377;skola-dizajn@pu.t-com.hr, ured@ss-primijenjenihumjetnostiidizajna-pu.skole.hr;www.ss-primijenjenihumjetnostiidizajna-pu.skole.hr
18-069-505;TALIJANSKA SREDNJA ŠKOLA DANTE ALIGHIERI, PULA - SCUOLA MEDIA SUPERIORE ITALIANA DANTE ALIGHIERI, POLA;Istarska županija;52100;Pula;S. SANTORIO 3;Srednja škola;Istarska županija;Debora Radolović;052/385-091, 052/385-090, 052/385-092;052/385-098;dante@ss-dante-pula.skole.hr;
18-069-506;Ekonomska škola Pula;Istarska županija;52100;Pula;KOVAČIĆEVA 3;Srednja škola;Istarska županija;Petko Radulović;052/222-761, 052/210-717, 052/214-452, 052/380-558, 052/380-559;052/222-761;ekonomska-skola-pula@ss-ekonomska-pu.skole.hr;ss-ekonomska-pu.skole.hr
18-069-507;Medicinska škola Pula;Istarska županija;52100;Pula;Zagrebačka 30;Srednja škola;Istarska županija;Gordana Ćoso;052/543-144, 052/383202;052/543-144;sluzbena_adresa@ss-medicinska-pu.skole.hr;
18-069-508;TEHNIČKA ŠKOLA PULA;Istarska županija;52100;Pula;JURJA CVEČIĆA 7;Srednja škola;Istarska županija;Sandra Balde;052/218-461, 052/218-461;052/218-562;ured@ss-tehnicka-pu.skole.hr;www.ss-tehnicka-pu.skole.hr
18-069-509;Strukovna škola Pula;Istarska županija;52100;Pula;ZAGREBAČKA 22;Srednja škola;Istarska županija;Ivo Bebek;052/216-261, 052/215-516, 052/215-517, 052/508-194, 217-086;;strukovna-skola-pula@ss-strukovna-pu.skole.hr, strukovna-pula@post.ht.hr;
18-069-515;Privatna gimnazija Juraj Dobrila, s pravom javnosti;Istarska županija;52100;Pula;Istarska 8;Srednja škola;Branka Červar;Branimir Červar;052/386-719, 098 35 48 048;052/382-260;bcervar@net.hr;
18-072-501;Talijanska srednja škola - Scuola media superiore italiana Rovinj - Rovigno;Istarska županija;52210;Rovinj;CARDUCCIJEVA ULICA 20;Srednja škola;Istarska županija;Ines Venier;052/813-277, 052/813-277, 052/840-984;052/840-985;smsir@pu.t-com.hr;http://www.smsir.hr/
18-072-502;SREDNJA ŠKOLA ZVANE ČRNJE ROVINJ, SCUOLA MEDIA SUPERIORE ZVANE ČRNJA ROVIGNO;Istarska županija;52210;Rovinj;Carduccijeva ulica 20;Srednja škola;Istarska županija;Ingrid Sau;052/830-154, 052/830-154 kod kuće 052/812-766  052/811-766, 052/840-655;052/830-931;ured@ss-zcrnje-rovinj.skole.hr;
